"","Generation","strategy","prob","freq_media","freq_sd","raio","divided"
"131",43,"O",0,0.830942,0.0218822107538235,"basico",FALSE
"132",43,"Y",0,0.045038,0.0147862260502158,"basico",FALSE
"133",44,"B",0,0.129569,0.0182921669773505,"basico",FALSE
"134",44,"O",0,0.826237,0.0219628182355654,"basico",FALSE
"135",44,"Y",0,0.044194,0.0146059405376682,"basico",FALSE
"136",45,"B",0,0.134904,0.0187370907479515,"basico",FALSE
"137",45,"O",0,0.821461,0.021683312463596,"basico",FALSE
"138",45,"Y",0,0.043635,0.0141212525197757,"basico",FALSE
"139",46,"B",0,0.140271,0.0192412346303716,"basico",FALSE
"140",46,"O",0,0.816904,0.0216846215581737,"basico",FALSE
"141",46,"Y",0,0.042825,0.0140007025437001,"basico",FALSE
"142",47,"B",0,0.145644,0.0198230419950974,"basico",FALSE
"143",47,"O",0,0.811508,0.0220556535733008,"basico",FALSE
"144",47,"Y",0,0.042848,0.0140331388455536,"basico",FALSE
"145",48,"B",0,0.150989,0.0202320722236909,"basico",FALSE
"146",48,"O",0,0.806215,0.0222775711595245,"basico",FALSE
"147",48,"Y",0,0.042796,0.0141984343993956,"basico",FALSE
"148",49,"B",0,0.156217,0.0210389108246332,"basico",FALSE
"149",49,"O",0,0.801131,0.0226644236635305,"basico",FALSE
"150",49,"Y",0,0.042652,0.0144877968851671,"basico",FALSE
"151",50,"B",0,0.161212,0.0215669607024122,"basico",FALSE
"152",50,"O",0,0.796176,0.0227341514115667,"basico",FALSE
"153",50,"Y",0,0.042612,0.0142296906842593,"basico",FALSE
"154",51,"B",0,0.166218,0.0224761124824386,"basico",FALSE
"155",51,"O",0,0.790902,0.0236628122341425,"basico",FALSE
"156",51,"Y",0,0.04288,0.0148213741371416,"basico",FALSE
"157",52,"B",0,0.171068,0.0228348832917862,"basico",FALSE
"158",52,"O",0,0.78607,0.024163661255127,"basico",FALSE
"159",52,"Y",0,0.042862,0.015033724915951,"basico",FALSE
"160",53,"B",0,0.175638,0.0233199692464756,"basico",FALSE
"161",53,"O",0,0.781456,0.0246679005424401,"basico",FALSE
"162",53,"Y",0,0.042906,0.0154098081058327,"basico",FALSE
"163",54,"B",0,0.180452,0.0236280584787398,"basico",FALSE
"164",54,"O",0,0.776454,0.0249974884394978,"basico",FALSE
"165",54,"Y",0,0.043094,0.0156030417909878,"basico",FALSE
"166",55,"B",0,0.185229,0.0240991063793417,"basico",FALSE
"167",55,"O",0,0.771291,0.025651255093636,"basico",FALSE
"168",55,"Y",0,0.04348,0.0163626391390863,"basico",FALSE
"169",56,"B",0,0.189307,0.0247429665753623,"basico",FALSE
