"","Generation","strategy","prob","freq_media","freq_sd"
"38",12,"O",0.25,0.131131578947368,0.0132694756852864
"39",12,"Y",0.25,0.510677192982456,0.0255013586300799
"40",13,"B",0.25,0.344989473684211,0.0212220966734686
"41",13,"O",0.25,0.119049122807018,0.0139822351933625
"42",13,"Y",0.25,0.535961403508772,0.0270120591746007
"43",14,"B",0.25,0.331685964912281,0.0209682705754985
"44",14,"O",0.25,0.10730701754386,0.0134190810262466
"45",14,"Y",0.25,0.56100701754386,0.0270577877596472
"46",15,"B",0.25,0.315710526315789,0.0218612073595683
"47",15,"O",0.25,0.097380701754386,0.0134440167068117
"48",15,"Y",0.25,0.586908771929825,0.0277305033228094
"49",16,"B",0.25,0.297973684210526,0.0221373998853571
"50",16,"O",0.25,0.0887052631578947,0.0129084471381649
"51",16,"Y",0.25,0.613321052631579,0.0279458515758735
"52",17,"B",0.25,0.279515789473684,0.0213682323411053
"53",17,"O",0.25,0.0808508771929825,0.0127989693056988
"54",17,"Y",0.25,0.639633333333333,0.0277885596535525
"55",18,"B",0.25,0.259901754385965,0.0218678375313093
"56",18,"O",0.25,0.0743263157894737,0.0116594462977418
"57",18,"Y",0.25,0.665771929824561,0.0283771019006646
"58",19,"B",0.25,0.240557894736842,0.0219283162288302
"59",19,"O",0.25,0.0686070175438596,0.0112116944630073
"60",19,"Y",0.25,0.690835087719298,0.0275794662956498
"61",20,"B",0.25,0.220882456140351,0.02224132353146
"62",20,"O",0.25,0.0638491228070175,0.0103053925344074
"63",20,"Y",0.25,0.715268421052632,0.0274275549525781
"64",21,"B",0.25,0.201135087719298,0.0228419764846283
"65",21,"O",0.25,0.0600736842105263,0.010079266666844
"66",21,"Y",0.25,0.738791228070175,0.0280546487152547
"67",22,"B",0.25,0.181789473684211,0.0233437410104058
"68",22,"O",0.25,0.0571,0.0104641223780524
"69",22,"Y",0.25,0.761110526315789,0.0285372418592325
"70",23,"B",0.25,0.162978947368421,0.0230386533649903
"71",23,"O",0.25,0.0552122807017544,0.0102085935468856
"72",23,"Y",0.25,0.781808771929825,0.0282095176485688
"73",24,"B",0.25,0.144668421052632,0.0224363477252453
"74",24,"O",0.25,0.0537280701754386,0.0100161789546778
"75",24,"Y",0.25,0.80160350877193,0.0272663120568763
"76",25,"B",0.25,0.128578947368421,0.0222967385254476
"77",25,"O",0.25,0.0530912280701754,0.0106306880690788
"78",25,"Y",0.25,0.818329824561403,0.0272228368215278
"79",26,"B",0.25,0.113463157894737,0.0209841405384004
"80",26,"O",0.25,0.0535736842105263,0.010697738851802
"81",26,"Y",0.25,0.832963157894737,0.0258544181881864
"82",27,"B",0.25,0.0993140350877193,0.0195615825991779
"83",27,"O",0.25,0.0543859649122807,0.0106025003553153
"84",27,"Y",0.25,0.8463,0.0242056959058341
"85",28,"B",0.25,0.0869877192982456,0.0183839513685116
"86",28,"O",0.25,0.0552543859649123,0.0106020899249602
"87",28,"Y",0.25,0.857757894736842,0.0232041633223161
"88",29,"B",0.25,0.0756315789473684,0.0174494080732059
"89",29,"O",0.25,0.0574473684210526,0.0111880533424714
"90",29,"Y",0.25,0.866921052631579,0.0222012607174369
"91",30,"B",0.25,0.0652947368421053,0.0160511394906209
"92",30,"O",0.25,0.0598105263157895,0.011686862040809
"93",30,"Y",0.25,0.874894736842105,0.0212288080973257
"94",31,"B",0.25,0.0569122807017544,0.015087140576562
"95",31,"O",0.25,0.0631438596491228,0.0127612417883194
"96",31,"Y",0.25,0.879943859649123,0.0202710033716695
"97",32,"B",0.25,0.0492280701754386,0.0139225889729344
"98",32,"O",0.25,0.066659649122807,0.0137921413914012
"99",32,"Y",0.25,0.884112280701754,0.0191153366826543
"100",33,"B",0.25,0.0428508771929825,0.0133085649490284
"101",33,"O",0.25,0.0712421052631579,0.0152082560680566
"102",33,"Y",0.25,0.88590701754386,0.0197299614405633
"103",34,"B",0.25,0.0375666666666667,0.0125607855380678
"104",34,"O",0.25,0.0769666666666667,0.0167944435255632
"105",34,"Y",0.25,0.885466666666667,0.0201057679475792
"106",35,"B",0.25,0.0329649122807018,0.0117695656435825
"107",35,"O",0.25,0.0830228070175439,0.0186117188269712
"108",35,"Y",0.25,0.884012280701754,0.0207740056507391
"109",36,"B",0.25,0.0290947368421053,0.0109441507706275
"110",36,"O",0.25,0.0896859649122807,0.0208558867896923
"111",36,"Y",0.25,0.881219298245614,0.0223051518600243
"112",37,"B",0.25,0.0260017543859649,0.0100055072554367
"113",37,"O",0.25,0.0969473684210526,0.0233717098926944
"114",37,"Y",0.25,0.877050877192982,0.0241105572816366
"115",38,"B",0.25,0.0230140350877193,0.00903586976200353
"116",38,"O",0.25,0.105843859649123,0.0255598458632164
"117",38,"Y",0.25,0.871142105263158,0.0262761906578698
"118",39,"B",0.25,0.0206350877192982,0.00852836634892367
"119",39,"O",0.25,0.11489298245614,0.0266539320313501
"120",39,"Y",0.25,0.864471929824561,0.0270784756005971
"121",40,"B",0.25,0.0185298245614035,0.00769649653395901
"122",40,"O",0.25,0.124842105263158,0.0292182364003351
"123",40,"Y",0.25,0.856628070175439,0.0293378884379055
"124",41,"B",0.25,0.0168438596491228,0.00728047824037139
