"","sim","Generation","strategy","freq","prob","freq_0_O","freq_0_Y","freq_0_B","neighbors","devide"
"23","1",7,"Y",0.4055,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"24","1",7,"B",0.3737,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"25","1",8,"O",0.1977,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"26","1",8,"Y",0.4235,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"27","1",8,"B",0.3788,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"28","1",9,"O",0.1841,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"29","1",9,"Y",0.4458,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"30","1",9,"B",0.3701,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"31","1",10,"O",0.1688,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"32","1",10,"Y",0.4643,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"33","1",10,"B",0.3669,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"34","1",11,"O",0.1543,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"35","1",11,"Y",0.4784,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"36","1",11,"B",0.3673,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"37","1",12,"O",0.1409,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"38","1",12,"Y",0.5017,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"39","1",12,"B",0.3574,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"40","1",13,"O",0.1299,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"41","1",13,"Y",0.5281,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"42","1",13,"B",0.342,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"43","1",14,"O",0.1146,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"44","1",14,"Y",0.556,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"45","1",14,"B",0.3294,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"46","1",15,"O",0.104,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"47","1",15,"Y",0.5804,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"48","1",15,"B",0.3156,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"49","1",16,"O",0.0911,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"50","1",16,"Y",0.612,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"51","1",16,"B",0.2969,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"52","1",17,"O",0.0805,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"53","1",17,"Y",0.6448,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"54","1",17,"B",0.2747,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"55","1",18,"O",0.0769,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"56","1",18,"Y",0.6682,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"57","1",18,"B",0.2549,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
