"","Generation","O","Y","B"
"374",373,0.6394,0.1123,0.2483
"375",374,0.6354,0.1124,0.2522
"376",375,0.6306,0.1178,0.2516
"377",376,0.6277,0.1212,0.2511
"378",377,0.623,0.1263,0.2507
"379",378,0.6211,0.1276,0.2513
"380",379,0.6171,0.1368,0.2461
"381",380,0.6182,0.1367,0.2451
"382",381,0.6198,0.1389,0.2413
"383",382,0.6191,0.1427,0.2382
"384",383,0.6106,0.1506,0.2388
"385",384,0.6118,0.1537,0.2345
"386",385,0.6087,0.1584,0.2329
"387",386,0.6086,0.1589,0.2325
"388",387,0.6053,0.1602,0.2345
"389",388,0.6065,0.162,0.2315
"390",389,0.6119,0.1599,0.2282
"391",390,0.6138,0.1532,0.233
"392",391,0.6113,0.1553,0.2334
"393",392,0.6119,0.1607,0.2274
"394",393,0.6118,0.1646,0.2236
"395",394,0.6062,0.1751,0.2187
"396",395,0.6037,0.1787,0.2176
"397",396,0.5935,0.1937,0.2128
"398",397,0.5821,0.2056,0.2123
"399",398,0.5705,0.2201,0.2094
"400",399,0.5675,0.2274,0.2051
"401",400,0.56,0.2427,0.1973
"402",401,0.5543,0.2485,0.1972
"403",402,0.5456,0.2626,0.1918
"404",403,0.5432,0.2712,0.1856
"405",404,0.5432,0.2798,0.177
"406",405,0.5458,0.2893,0.1649
"407",406,0.5422,0.2974,0.1604
"408",407,0.5466,0.2989,0.1545
"409",408,0.5531,0.293,0.1539
"410",409,0.5598,0.2906,0.1496
"411",410,0.5608,0.2869,0.1523
"412",411,0.5657,0.2837,0.1506
"413",412,0.5695,0.2862,0.1443
"414",413,0.5781,0.286,0.1359
"415",414,0.5853,0.283,0.1317
"416",415,0.5973,0.2776,0.1251
"417",416,0.6176,0.2587,0.1237
"418",417,0.632,0.2481,0.1199
"419",418,0.6459,0.2355,0.1186
"420",419,0.6577,0.2214,0.1209
"421",420,0.6681,0.2078,0.1241
"422",421,0.6773,0.1954,0.1273
"423",422,0.6841,0.181,0.1349
"424",423,0.6996,0.167,0.1334
"425",424,0.7059,0.1591,0.135
"426",425,0.7093,0.1466,0.1441
"427",426,0.7058,0.1428,0.1514
"428",427,0.7045,0.1432,0.1523
"429",428,0.701,0.1431,0.1559
"430",429,0.6997,0.1436,0.1567
"431",430,0.7008,0.1446,0.1546
"432",431,0.6988,0.1422,0.159
"433",432,0.7038,0.1351,0.1611
"434",433,0.7074,0.1296,0.163
"435",434,0.7059,0.1243,0.1698
"436",435,0.7066,0.1234,0.17
"437",436,0.707,0.1202,0.1728
"438",437,0.7052,0.117,0.1778
"439",438,0.7038,0.117,0.1792
"440",439,0.7021,0.1179,0.18
"441",440,0.6988,0.1211,0.1801
"442",441,0.7002,0.1202,0.1796
"443",442,0.696,0.1207,0.1833
"444",443,0.6936,0.1233,0.1831
"445",444,0.6923,0.1291,0.1786
"446",445,0.6901,0.1282,0.1817
"447",446,0.6868,0.1336,0.1796
"448",447,0.689,0.1307,0.1803
"449",448,0.6925,0.1266,0.1809
"450",449,0.6945,0.1252,0.1803
"451",450,0.6952,0.1191,0.1857
"452",451,0.6987,0.1123,0.189
"453",452,0.7027,0.106,0.1913
"454",453,0.7102,0.1008,0.189
"455",454,0.7154,0.095,0.1896
"456",455,0.7148,0.0938,0.1914
"457",456,0.7186,0.0896,0.1918
"458",457,0.721,0.0869,0.1921
"459",458,0.7189,0.085,0.1961
"460",459,0.7208,0.0853,0.1939
"461",460,0.7217,0.0831,0.1952
"462",461,0.7181,0.0824,0.1995
"463",462,0.7173,0.0828,0.1999
"464",463,0.7104,0.0849,0.2047
"465",464,0.7093,0.0865,0.2042
"466",465,0.7059,0.0883,0.2058
"467",466,0.7041,0.0891,0.2068
"468",467,0.7031,0.09,0.2069
"469",468,0.7052,0.0909,0.2039
"470",469,0.7036,0.0909,0.2055
"471",470,0.6993,0.0913,0.2094
"472",471,0.6985,0.0936,0.2079
"473",472,0.6948,0.096,0.2092
"474",473,0.6919,0.0984,0.2097
"475",474,0.6936,0.0963,0.2101
"476",475,0.6893,0.1004,0.2103
"477",476,0.6881,0.1055,0.2064
"478",477,0.6832,0.109,0.2078
"479",478,0.6786,0.1126,0.2088
